Assets/BuildReport/Scripts/Editor/Window/BRT_BuildReportWindow.cs:2206,40:: Assets/BuildReport/Scripts/Editor/Window/BRT_BuildReportWindow.cs(2206,40): error CS0104: 'TextureData' is an ambiguous reference between 'BuildReportTool.TextureData' and 'UnityEngine.U2D.TextureData'
Assets/BuildReport/Scripts/Editor/Window/BRT_BuildReportWindow.cs:2207,40:: Assets/BuildReport/Scripts/Editor/Window/BRT_BuildReportWindow.cs(2207,40): error CS0104: 'TextureData' is an ambiguous reference between 'BuildReportTool.TextureData' and 'UnityEngine.U2D.TextureData'
Assets/BuildReport/Scripts/Editor/Window/BRT_BuildReportWindow.cs:2214,40:: Assets/BuildReport/Scripts/Editor/Window/BRT_BuildReportWindow.cs(2214,40): error CS0104: 'TextureData' is an ambiguous reference between 'BuildReportTool.TextureData' and 'UnityEngine.U2D.TextureData'
Assets/BuildReport/Scripts/Editor/Window/BRT_BuildReportWindow.cs:2215,40:: Assets/BuildReport/Scripts/Editor/Window/BRT_BuildReportWindow.cs(2215,40): error CS0104: 'TextureData' is an ambiguous reference between 'BuildReportTool.TextureData' and 'UnityEngine.U2D.TextureData'
Assets/BuildReport/Scripts/Editor/Window/BRT_BuildReportWindow.cs:2223,39:: Assets/BuildReport/Scripts/Editor/Window/BRT_BuildReportWindow.cs(2223,39): error CS0104: 'TextureData' is an ambiguous reference between 'BuildReportTool.TextureData' and 'UnityEngine.U2D.TextureData'
Assets/Code/URP-Render-Features-main/RenderFeatures/Render Features/Blur/BlurRenderPass.cs:36,30:: Assets/Code/URP-Render-Features-main/RenderFeatures/Render Features/Blur/BlurRenderPass.cs(36,30): error CS0115: 'BlurRenderPass.Configure(CommandBuffer, RenderTextureDescriptor)': no suitable method found to override
Assets/Code/URP-Render-Features-main/RenderFeatures/Render Features/Blur/BlurRenderPass.cs:46,30:: Assets/Code/URP-Render-Features-main/RenderFeatures/Render Features/Blur/BlurRenderPass.cs(46,30): error CS0115: 'BlurRenderPass.Execute(ScriptableRenderContext, ref RenderingData)': no suitable method found to override
Assets/Code/URP-Render-Features-main/RenderFeatures/Render Features/Desaturation/DesaturationRenderPass.cs:57,30:: Assets/Code/URP-Render-Features-main/RenderFeatures/Render Features/Desaturation/DesaturationRenderPass.cs(57,30): error CS0115: 'DesaturationRenderPass.OnCameraSetup(CommandBuffer, ref RenderingData)': no suitable method found to override
Assets/Code/URP-Render-Features-main/RenderFeatures/Render Features/Desaturation/DesaturationRenderPass.cs:87,30:: Assets/Code/URP-Render-Features-main/RenderFeatures/Render Features/Desaturation/DesaturationRenderPass.cs(87,30): error CS0115: 'DesaturationRenderPass.Execute(ScriptableRenderContext, ref RenderingData)': no suitable method found to override
Packages/dev.ameye.linework/Runtime/EdgeDetection/EdgeDetection.cs:445,34:: Packages/dev.ameye.linework/Runtime/EdgeDetection/EdgeDetection.cs(445,34): error CS0115: 'EdgeDetection.EdgeDetectionPass.OnCameraSetup(CommandBuffer, ref RenderingData)': no suitable method found to override
Packages/dev.ameye.linework/Runtime/EdgeDetection/EdgeDetection.cs:485,34:: Packages/dev.ameye.linework/Runtime/EdgeDetection/EdgeDetection.cs(485,34): error CS0115: 'EdgeDetection.EdgeDetectionPass.Execute(ScriptableRenderContext, ref RenderingData)': no suitable method found to override
Packages/dev.ameye.linework/Runtime/EdgeDetection/EdgeDetection.cs:665,30:: Packages/dev.ameye.linework/Runtime/EdgeDetection/EdgeDetection.cs(665,30): error CS0115: 'EdgeDetection.SetupRenderPasses(ScriptableRenderer, in RenderingData)': no suitable method found to override
Packages/dev.ameye.linework/Runtime/FastOutline/FastOutline.cs:299,34:: Packages/dev.ameye.linework/Runtime/FastOutline/FastOutline.cs(299,34): error CS0115: 'FastOutline.FastOutlinePass.OnCameraSetup(CommandBuffer, ref RenderingData)': no suitable method found to override
Packages/dev.ameye.linework/Runtime/FastOutline/FastOutline.cs:304,34:: Packages/dev.ameye.linework/Runtime/FastOutline/FastOutline.cs(304,34): error CS0115: 'FastOutline.FastOutlinePass.Execute(ScriptableRenderContext, ref RenderingData)': no suitable method found to override
Packages/dev.ameye.linework/Runtime/FastOutline/FastOutline.cs:490,30:: Packages/dev.ameye.linework/Runtime/FastOutline/FastOutline.cs(490,30): error CS0115: 'FastOutline.SetupRenderPasses(ScriptableRenderer, in RenderingData)': no suitable method found to override
Packages/dev.ameye.linework/Runtime/SoftOutline/SoftOutline.cs:465,34:: Packages/dev.ameye.linework/Runtime/SoftOutline/SoftOutline.cs(465,34): error CS0115: 'SoftOutline.SoftOutlinePass.OnCameraSetup(CommandBuffer, ref RenderingData)': no suitable method found to override
Packages/dev.ameye.linework/Runtime/SoftOutline/SoftOutline.cs:504,34:: Packages/dev.ameye.linework/Runtime/SoftOutline/SoftOutline.cs(504,34): error CS0115: 'SoftOutline.SoftOutlinePass.Execute(ScriptableRenderContext, ref RenderingData)': no suitable method found to override
Packages/dev.ameye.linework/Runtime/SoftOutline/SoftOutline.cs:785,30:: Packages/dev.ameye.linework/Runtime/SoftOutline/SoftOutline.cs(785,30): error CS0115: 'SoftOutline.SetupRenderPasses(ScriptableRenderer, in RenderingData)': no suitable method found to override
